S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30
buffer_test_bin.19	0.40998793	0.4974112	0.557559	0.49713168	0.5093323	0.48729312	0.27872324	0.2889226	0.31332347	0.43676433	0.062302873	0.33506787	0.08929629	0.06767478	0.1413934	0.03210251	0.108443506	0.050319966	0.05367075	0.090305604	0.35207677	0.32049772	0.38948476	0.40649828	0.23390515	0.16441381	0.12976883	0.25574186	0.22208597	0.25751796
buffer_test_bin.1	0.48808584	0.57464486	0.647532	0.55413395	0.5794428	0.75300235	0.51334524	0.50462765	0.5586367	0.7307837	0.35737404	0.7485877	0.20239018	0.25573316	0.23193462	0.30273214	0.32654023	0.3409502	0.3245275	0.42032158	0.4822688	0.3955508	0.49409395	0.5179526	0.43375498	0.32259947	0.26250392	0.4798366	0.43675932	0.5015693
buffer_test_bin.20	0.9996098	0.9996639	0.9996034	0.99956536	0.99957454	0.99985576	0.99958295	0.999466	0.999597	0.999724	0.6298581	0.99746215	0.74993783	0.68072873	0.8979389	0.36487272	0.8666993	0.42135677	0.4850298	0.73528665	0.99924004	0.99839234	0.99941593	0.9995189	0.99933296	0.99602234	0.9916148	0.99936146	0.99896884	0.99945074
buffer_test_bin.21	0.2926407	0.35078666	0.4223243	0.31834674	0.36456394	0.41261506	0.29564208	0.25397784	0.2883025	0.46397144	0.05308491	0.23456386	0.09130269	0.0687506	0.11372339	0.4774595	0.3989903	0.49642846	0.43882677	0.49667048	0.31989178	0.23830444	0.313007	0.3396296	0.28039217	0.1774719	0.17768262	0.25064123	0.24448992	0.34497747
buffer_test_bin.22	0.9127126	0.9459138	0.97397935	0.936288	0.9561544	0.98642033	0.936557	0.8876727	0.92876726	0.9913054	0.20795122	0.7421714	0.2912058	0.24660408	0.40023038	0.140894	0.37447745	0.1538071	0.16713315	0.28976116	0.90417594	0.8266692	0.91752744	0.9323394	0.89546686	0.7510218	0.7091299	0.89039	0.86978763	0.9376953
buffer_test_bin.23	0.31245402	0.33189875	0.44528165	0.3342595	0.40395358	0.2475087	0.17802982	0.13131106	0.15613143	0.30350408	0.33264288	0.677451	0.45613545	0.46132278	0.3395817	0.36152455	0.3931263	0.38994578	0.4518353	0.24067497	0.27981585	0.22612494	0.3106179	0.2999653	0.27298892	0.1600224	0.14806765	0.1574063	0.1524872	0.2837287
buffer_test_bin.24	0.811857	0.85753614	0.87791944	0.84969574	0.8873447	0.87155175	0.60105073	0.702632	0.6824584	0.7971638	0.7015808	0.98214704	0.88939947	0.8470554	0.6446054	0.5823317	0.5521641	0.6349797	0.60830057	0.62529284	0.4327179	0.4511254	0.59727055	0.50167435	0.5021184	0.38508478	0.26186305	0.47413415	0.3931722	0.49235913
buffer_test_bin.25	0.9885971	0.99297625	0.99517256	0.993444	0.99362564	0.9970405	0.9919998	0.98328537	0.9911685	0.995959	0.3698361	0.9455229	0.4539852	0.36507645	0.6474301	0.21625479	0.59303004	0.23767394	0.24537171	0.53260964	0.9863592	0.9707731	0.987999	0.99087584	0.9836864	0.94109756	0.9222152	0.9856849	0.9793308	0.99201006
buffer_test_bin.26	0.7531604	0.8233136	0.8617604	0.81401753	0.8733873	0.6976819	0.57209754	0.4928252	0.5502515	0.7936278	0.9486133	0.98286426	0.9653859	0.9563166	0.9644871	0.97565114	0.9441833	0.9750158	0.9294793	0.91433305	0.74829066	0.6659512	0.80235016	0.801632	0.7028986	0.5323552	0.48001546	0.5194619	0.5307319	0.7171442
buffer_test_bin.27	0.4848174	0.48736966	0.6365915	0.4982869	0.5122219	0.48892316	0.4096771	0.30068535	0.33549693	0.5709353	0.047193818	0.34471592	0.023808818	0.03086745	0.05722518	0.011792266	0.06724041	0.012417867	0.013119979	0.04431898	0.5319538	0.32948247	0.46284297	0.58017194	0.72979426	0.525532	0.5497594	0.73212904	0.6934157	0.81690127
buffer_test_bin.28	0.26070452	0.3083246	0.37448168	0.2894838	0.33461633	0.41162482	0.2695148	0.23109049	0.2891059	0.43798852	0.023415184	0.20200735	0.04153063	0.03847344	0.11856749	0.02028739	0.09656289	0.035199605	0.05520114	0.034377337	0.31165037	0.22357452	0.30178177	0.32888123	0.35918948	0.23352198	0.24086216	0.362111	0.3384605	0.44594815
buffer_test_bin.29	0.9947044	0.9953127	0.9968509	0.9961212	0.9969	0.9935158	0.97797215	0.9563634	0.97117937	0.9950366	0.9971258	0.99934417	0.99749976	0.9972441	0.997277	0.9987321	0.99881136	0.99902636	0.99885815	0.99847066	0.9950946	0.99098885	0.99543333	0.9963339	0.9905519	0.9564941	0.9480065	0.97844154	0.9758682	0.9914011
buffer_test_bin.2	0.14588165	0.1483589	0.21505544	0.16155398	0.18803787	0.14186323	0.09554872	0.08229435	0.081804276	0.16025504	0.6825363	0.97141236	0.8064076	0.80776125	0.64123	0.60930556	0.4355078	0.55237406	0.57100105	0.6229993	0.11330905	0.110198304	0.14338364	0.11435914	0.15172102	0.08340728	0.08566002	0.09713297	0.084310405	0.16352797
buffer_test_bin.30	0.9176361	0.9378124	0.9660663	0.9332626	0.952542	0.920007	0.7971667	0.73597395	0.7749454	0.92687875	0.9697884	0.99957716	0.98122656	0.98659253	0.96138304	0.9528831	0.927706	0.94514763	0.95202774	0.9325831	0.8983087	0.83733284	0.9133845	0.93397075	0.89859307	0.7591758	0.75531703	0.86994493	0.8447461	0.94550127
buffer_test_bin.31	0.99772555	0.9984731	0.9990725	0.9984221	0.9988944	0.9990063	0.99724144	0.9957788	0.99702317	0.99919266	0.61991847	0.9847077	0.756067	0.79282194	0.9560838	0.9994114	0.9991102	0.99929714	0.9990283	0.99916565	0.9976201	0.9942342	0.99793404	0.99850595	0.996802	0.97973996	0.9755894	0.99598676	0.99363285	0.99783444
buffer_test_bin.32	0.8573809	0.8932861	0.93395406	0.89036894	0.92745656	0.81740713	0.67395127	0.59500635	0.6440263	0.8455954	0.96606416	0.99482334	0.9695737	0.9738251	0.9532098	0.971071	0.9195127	0.9664787	0.9502285	0.94545686	0.7442011	0.67449474	0.7799082	0.7852182	0.7112294	0.5096488	0.47216547	0.5400474	0.5061498	0.71615744
buffer_test_bin.33	0.9928181	0.99284846	0.9940662	0.99331045	0.99355114	0.99617755	0.99369913	0.99167585	0.9936504	0.9953713	0.768563	0.9894031	0.859294	0.81251496	0.96246725	0.43181863	0.91878563	0.43916762	0.41951105	0.90011	0.9916152	0.98966515	0.9918368	0.99184114	0.9920537	0.98879284	0.9888102	0.99198407	0.9919202	0.993257
buffer_test_bin.34	0.9981692	0.99943364	0.9996966	0.99889374	0.99938226	0.99964035	0.9981145	0.9977178	0.9991568	0.9996954	0.50343126	0.9841179	0.67665815	0.5810066	0.8412574	0.6307478	0.8899804	0.6263751	0.69210225	0.6039098	0.9987001	0.995604	0.9989223	0.99906707	0.9994467	0.9944052	0.9927016	0.9993965	0.9989325	0.9996346
buffer_test_bin.35	0.4059084	0.48144627	0.56047285	0.4688568	0.48954827	0.66181153	0.44584453	0.4142238	0.4702122	0.66520065	0.063418575	0.3220928	0.107680894	0.090206385	0.16284575	0.04099598	0.16092688	0.061647054	0.08312604	0.092502095	0.39815733	0.32105312	0.4134802	0.41714767	0.39361444	0.27992535	0.24103543	0.41769806	0.38834846	0.477155
